"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/04/2014","9.471,64","9.508,48","9.600,22","9.456,49","","-0,50%"
"01/03/2014","9.519,21","9.405,73","9.648,36","9.402,78","","0,81%"
"01/02/2014","9.442,36","9.126,60","9.442,36","9.081,57","","3,52%"
"01/01/2014","9.121,28","9.093,22","9.271,02","9.069,63","","0,08%"
"01/12/2013","9.114,14","9.259,18","9.367,56","9.114,14","","-1,60%"
"01/11/2013","9.262,49","9.366,12","9.374,81","9.114,01","","-1,31%"
"01/10/2013","9.385,49","8.659,87","9.497,98","8.590,93","","8,21%"
"01/09/2013","8.673,49","8.407,03","8.815,14","8.358,10","","3,09%"
"01/08/2013","8.413,72","8.553,66","8.584,18","8.334,51","","-1,91%"
"01/07/2013","8.577,59","8.732,11","8.809,64","8.548,74","","-2,44%"
"01/06/2013","8.792,15","8.902,47","8.959,10","8.660,71","","-1,29%"
"01/05/2013","8.906,65","9.088,61","9.279,85","8.727,85","","-2,61%"
"01/04/2013","9.145,51","9.019,86","9.299,48","9.011,71","","1,16%"
"01/03/2013","9.040,96","8.879,23","9.054,96","8.711,70","","1,21%"
"01/02/2013","8.932,82","8.994,62","9.045,47","8.803,97","","-0,71%"
"01/01/2013","8.996,43","9.319,67","9.410,14","8.818,04","","-3,88%"
"01/12/2012","9.359,19","9.716,69","9.784,31","9.320,75","","-3,85%"
"01/11/2012","9.733,62","9.490,18","9.863,79","9.396,93","","2,41%"
"01/10/2012","9.504,55","9.464,70","9.658,85","9.068,25","","0,35%"
"01/09/2012","9.471,80","9.890,95","9.972,18","9.456,16","","-4,75%"
"01/08/2012","9.944,22","9.796,84","9.983,95","9.761,75","","0,96%"
"01/07/2012","9.849,77","10.006,57","10.094,88","9.668,79","","-2,03%"
"01/06/2012","10.053,90","10.279,55","10.307,45","9.867,14","","-2,27%"
"01/05/2012","10.286,99","10.271,60","10.366,87","9.698,11","","-0,07%"
"01/04/2012","10.293,90","10.940,48","10.960,95","10.218,11","","-5,98%"
"01/03/2012","10.948,45","11.398,85","11.439,81","10.874,28","","-3,95%"
"01/02/2012","11.398,94","11.196,89","11.575,87","11.171,36","","1,67%"
"01/01/2012","11.211,71","11.119,31","11.211,72","10.922,75","","1,67%"
"01/12/2011","11.027,65","10.933,85","11.392,21","10.779,94","","0,68%"
"01/11/2011","10.952,68","11.320,33","11.326,08","10.823,89","","-3,52%"
"01/10/2011","11.352,19","11.463,87","11.546,85","11.279,06","","-1,01%"
"01/09/2011","11.467,63","11.539,33","11.837,78","11.207,02","","-0,43%"
"01/08/2011","11.517,14","11.141,32","11.517,51","10.716,54","","2,80%"
"01/07/2011","11.202,95","11.475,44","11.607,68","11.154,09","","-2,68%"
"01/06/2011","11.510,93","12.197,66","12.219,93","11.447,22","","-5,62%"
"01/05/2011","12.196,70","11.559,04","12.223,77","11.559,04","","5,59%"
"01/04/2011","11.551,50","12.159,66","12.263,34","11.551,45","","-5,11%"
"01/03/2011","12.173,79","12.764,61","12.885,94","12.173,79","","-4,94%"
"01/02/2011","12.805,81","12.668,57","12.984,01","12.142,14","","1,72%"
"01/01/2011","12.589,31","12.631,48","13.401,32","12.537,27","","-0,52%"
"01/12/2010","12.655,20","12.244,69","12.989,22","12.232,36","","3,53%"
"01/11/2010","12.224,20","12.155,66","12.326,38","12.055,69","","0,23%"
"01/10/2010","12.196,70","11.899,75","12.401,73","11.608,03","","2,52%"
"01/09/2010","11.896,36","11.704,96","11.930,36","11.613,91","","1,37%"
"01/08/2010","11.736,15","11.769,70","11.795,85","11.453,64","","-0,39%"
"01/07/2010","11.782,52","11.773,45","11.967,57","11.628,67","","0,07%"
"01/06/2010","11.773,87","12.058,72","12.330,76","11.752,57","","-2,44%"
"01/05/2010","12.068,53","12.279,74","12.492,03","11.881,88","","-1,78%"
"01/04/2010","12.286,99","11.413,63","12.286,99","11.285,40","","7,60%"
"01/03/2010","11.418,77","11.097,27","11.589,83","10.912,40","","2,90%"
"01/02/2010","11.096,80","10.924,53","11.113,50","10.818,01","","1,54%"
"01/01/2010","10.928,44","10.446,12","11.008,00","10.222,49","","4,64%"
