trimestre,division,ice,type
T2/2012,3- Produits bruts d'origine animale et vegetale,315.9,import
T2/2012,4- Produits bruts d'origine minerale,402.0,import
T2/2012,5- Demi-Produits,248.9,import
T2/2012,6- Produits finis d'equipement agricole,202.7,import
T2/2012,7- Produits finis d'equipement industriel,201.6,import
T2/2012,8- Produits finis de consommation,198.2,import
T2/2012,IMPORTATIONS,265.2,import
T3/2012,"1- Alimentation, boissons et tabacs",195.7,export
T3/2012,2- Energie et lubrifiants,904.5,export
T3/2012,3- Produits bruts d'origine animale et vegetale,208.0,export
T3/2012,4- Produits bruts d'origine minerale,408.8,export
T3/2012,5- Demi-Produits,311.5,export
T3/2012,6- Produits finis d'equipement agricole,163.0,export
T3/2012,7- Produits finis d'equipement industriel,163.0,export
T3/2012,8- Produits finis de consommation,180.9,export
T3/2012,EXPORTATIONS,229.1,export
T3/2012,"1- Alimentation, boissons et tabacs",279.0,import
T3/2012,2- Energie et lubrifiants,413.1,import
T3/2012,3- Produits bruts d'origine animale et vegetale,277.5,import
T3/2012,4- Produits bruts d'origine minerale,375.1,import
T3/2012,5- Demi-Produits,246.3,import
T3/2012,6- Produits finis d'equipement agricole,212.1,import
T3/2012,7- Produits finis d'equipement industriel,203.2,import
T3/2012,8- Produits finis de consommation,195.2,import
T3/2012,IMPORTATIONS,258.0,import
T4/2012,"1- Alimentation, boissons et tabacs",183.4,export
T4/2012,2- Energie et lubrifiants,1102.3,export
T4/2012,3- Produits bruts d'origine animale et vegetale,230.9,export
T4/2012,4- Produits bruts d'origine minerale,352.0,export
T4/2012,5- Demi-Produits,300.4,export
T4/2012,6- Produits finis d'equipement agricole,178.5,export
T4/2012,7- Produits finis d'equipement industriel,178.5,export
T4/2012,8- Produits finis de consommation,177.8,export
T4/2012,EXPORTATIONS,225.3,export
T4/2012,"1- Alimentation, boissons et tabacs",358.0,import
T4/2012,2- Energie et lubrifiants,523.1,import
T4/2012,3- Produits bruts d'origine animale et vegetale,292.3,import
T4/2012,4- Produits bruts d'origine minerale,403.9,import
T4/2012,5- Demi-Produits,239.0,import
T4/2012,6- Produits finis d'equipement agricole,186.3,import
T4/2012,7- Produits finis d'equipement industriel,203.9,import
T4/2012,8- Produits finis de consommation,188.3,import
T4/2012,IMPORTATIONS,277.6,import
T1/2013,"1- Alimentation, boissons et tabacs",99.7,export
T1/2013,3- Produits bruts d'origine animale et vegetale,98.2,export
T1/2013,4- Produits bruts d'origine minerale,89.1,export
T1/2013,6- Produits finis d'equipement agricole,99.7,export
T1/2013,7- Produits finis d'equipement industriel,101.4,export
T1/2013,8- Produits finis de consommation,103.9,export
